,beer_karma,beer_marked,join_date,location,sex,user_id,user_name
115,982,"3,022","Feb 25, 2010",Pennsylvania,Male,431655,idrinkgas
116,"5,662","5,370","Mar 2, 2009",Pennsylvania,Male,304205,rifugium
117,977,"3,370","May 10, 2010",Minnesota,Male,457878,eawolff99
118,"1,023","3,150","May 11, 2014",Pennsylvania,Male,799427,hozersr
119,564,"2,353","Dec 18, 2003",South Carolina,Male,4062,wolfgang
120,849,"3,865","Dec 31, 2010",New Hampshire,Male,546654,mklisz
121,794,"3,552","Aug 27, 2013",Michigan,Male,750886,tommy5
122,"4,232","3,173","Dec 25, 2003",California,Male,4151,zorro
123,"4,216","3,307","Dec 21, 2007",South Carolina,Male,180837,avalon07
124,"2,166","2,499","Oct 30, 2010",Maryland,Male,519994,bubseymour
125,"3,693","3,021","Jan 14, 2008",New Jersey,Male,186652,beerthulhu
126,"3,059","2,798","May 13, 2011",North Carolina,Male,598312,immortale25
127,"3,820","3,065","Jun 27, 2007",California,Male,145116,halcyondays
128,807,"3,636","Apr 18, 2012",Pennsylvania,Male,673099,ipachris
129,"5,728","3,262","Sep 14, 2002",Wyoming,Male,708,bitterbill
130,593,"2,578","Mar 30, 2013",California,Male,726249,basbill
131,"1,517","3,485","Nov 20, 2013",California,Male,765198,fthegiants
132,"2,912","2,994","Jan 19, 2006",Florida,Male,60686,cjgator3
133,"1,547","3,155","Aug 11, 2012",Indiana,Male,688854,fredmugs
134,801,"3,224","Sep 22, 2009",New Jersey,Male,372970,petermethot
135,544,"1,646","Jan 21, 2013",Florida,Male,714311,keywestgator
136,"5,353","3,292","Oct 13, 2007",California,Male,164758,doublej
137,"1,279","4,050","Dec 13, 2009",Tennessee,Male,404098,alexfields
138,"9,482","6,971","Apr 16, 2005",Illinois,Illinois,17949,emerge077
139,730,"2,408","May 10, 2009",Texas,Male,329163,drummermattie02
140,"3,199","2,715","Nov 26, 2009",Kentucky,Female,397246,barczar
141,"5,757","4,407","Feb 28, 2007",New Hampshire,Male,125029,johnnnniee
142,"1,647","5,637","Jan 9, 2010",New York,Male,413924,smithj4
143,651,"3,352","Dec 17, 2010",Colorado,February 13 ,539880,afsdan
144,"3,039","3,340","Jan 20, 2010",Ontario (Canada),Male,417825,thesevenduffs
145,"3,873","5,188","Dec 23, 2006",Pennsylvania,Male,113426,kegatron
146,925,"2,739","Jun 14, 2013",Colorado,Male,737070,canada_dan
147,"1,443","2,364","Aug 8, 2010",Kentucky,Male,489156,mrfrancis
148,"1,097","4,935","Aug 1, 2009",Illinois,Male,355414,krome
149,637,"2,697","Oct 4, 2011",New Jersey,Male,624076,il0vebeer
150,"4,243","3,298","May 28, 2003",New York,Male,2159,weswes
151,882,"3,531","Jan 15, 2012",Texas,Male,654941,sd123
152,0,"5,486","Jan 31, 2011",Sweden,Male,560899,olradetbalder
153,611,"2,192","Dec 27, 2011",Maine,Male,648428,rderedin
154,"3,469","2,873","May 15, 2009",Pennsylvania,Male,330550,drdemento456
155,"4,756","3,231","Dec 29, 2010",Minnesota,Male,545285,pat61
156,740,"2,573","Jan 24, 2009",Wisconsin,Male,290821,bpfrush
157,"2,022","2,747","Apr 6, 2010",Indiana,Male,445751,ovaltine
158,"1,170","2,948","Aug 9, 2013",Maryland,Male,747587,jamieduncan
159,"7,849","5,048","Apr 9, 2004",Pennsylvania,Male,5708,woodychandler
160,758,"2,843","Nov 21, 2010",Colorado,Male,528452,crobinso
161,780,"2,385","Jan 11, 2012",Kentucky,Male,654191,khargro2
162,0,"2,198","May 25, 2009",Pennsylvania,Male,333746,xnicknj
163,"5,382","4,338","Jun 4, 2017",Vermont,Male,1202198,lone_freighter
164,"5,116","5,642","Aug 30, 2012",Romania,Male,691982,ciocanelu
165,604,"2,113","Jan 28, 2010",New Jersey,Male,421067,shemrahboo
166,899,"4,139","Jul 1, 2008",Illinois,Male,231677,imperialking
167,"4,398","3,204","Apr 30, 2008",Massachusetts,Male,215811,tigg924
168,"1,413","4,391","Mar 14, 2011",New Jersey,Male,579903,sadmachine
169,0,"3,443","May 4, 2012",Florida,Male,675252,beernads
170,"2,642","5,850","May 3, 2004",Texas,Male,6103,gagnonsux
171,"4,730","4,016","Nov 6, 2010",Virginia,Male,522584,garthdanielson
172,668,"2,192","Feb 10, 2013",Massachusetts,Male,717733,kvgomps
173,"2,741","2,169","Dec 30, 2006",Virginia,Male,114355,argock
174,854,"2,968","Jan 13, 2011",Florida,Male,551912,mattreitz49
175,"11,145","7,461","Oct 28, 2007",Alberta (Canada),Male,168458,biboergosum
176,"5,548","3,709","Apr 8, 2003",New Jersey,Male,1881,gavage
177,"4,016","3,129","Aug 30, 2005",Ontario (Canada),Male,37285,biegaman
178,0,"2,231","Mar 23, 2009",Wisconsin,Male,311328,beerfmandy
179,977,"3,741","May 26, 2012",Illinois,Male,678389,beerops
180,"1,554","4,527","Nov 10, 2013",Kansas,Male,763332,22blue
181,751,"3,222","May 19, 2012",Illinois,Male,677311,jschott75
182,"4,847","3,022","Dec 11, 2008",Pennsylvania,Male,276070,jmdrpi
183,"2,384","2,221","Oct 5, 2010",Massachusetts,Male,510859,dope
184,"2,013","2,827","Sep 9, 2005",New Jersey,Male,38799,colforbinbc
185,"3,695","2,787","Jun 23, 2004",Illinois,Male,6920,rhoadsrage
186,"2,268","6,461","May 21, 2013",California,Male,733520,kurmaraja
187,"1,041","2,298","Mar 1, 2006",Connecticut,Male,67674,jaxon53
188,"1,251","2,676","Jul 17, 2014",Massachusetts,Male,827579,costanzo_mike
189,"1,215","2,994","Apr 29, 2011",South Carolina,Male,595693,adtaber
190,"4,373","3,365","Jul 26, 2008",New Hampshire,Male,237852,puboflyons
191,978,"3,484","Jan 12, 2014",Pennsylvania,Male,775766,epyon396
192,626,"2,141","Feb 20, 2011",Illinois,Male,570026,hilgart1
193,965,"2,256","Dec 16, 2012",Ohio,Male,708072,lukass
194,"5,396","4,964","Jan 8, 2011",Illinois,Male,549902,woodbrew
195,"4,374","2,893","Jul 4, 2005",Ohio,Male,27421,bluejacket74
196,0,"1,816","Sep 16, 2012",Kentucky,Male,694554,kygunner
197,"2,914","6,405","Oct 3, 2007",New Mexico,Male,162568,lxixme
198,702,"2,102","Aug 26, 2011",Massachusetts,Male,617962,thegerm87
199,"2,692","2,387","Jul 2, 2009",Illinois,Male,346085,jrallen34
200,"2,797","3,372","Aug 25, 2012",Massachusetts,Male,691287,davepoolesque
201,"2,720","2,365","Jun 20, 2006",Virginia,Male,84719,pencible
202,901,"2,030","Dec 21, 2012",Massachusetts,Massachusetts,708933,anitabrewski
203,967,"1,818","Mar 3, 2011",Kentucky,Male,575148,thebeeralmanac
204,0,"2,129","Dec 16, 2012",North Carolina,Male,708126,kevingordon
205,"2,635","5,110","Dec 12, 2008",California,Male,276274,wethorseblanket
206,963,"4,020","Dec 14, 2012",New York,Male,707714,malfunxion
207,760,"2,594","Mar 12, 2010",California,California,437141,kmanjohnson
208,"2,034","1,976","Jul 3, 2006",Ohio,Male,86799,prototypic
209,"2,165","2,342","Mar 6, 2010",Indiana,Male,434986,rlee1390
210,751,"2,588","Sep 21, 2012",Texas,Male,695343,bgswo22
211,"5,182","3,829","May 20, 2009",Pennsylvania,Male,332060,tone77
212,980,"1,892","Oct 16, 2010",New Hampshire,Male,515021,satchboogie
213,"3,058","2,343","May 29, 2005",Ohio,Male,21200,turdfurgison
214,0,"3,247","Oct 12, 2007",Texas,Male,164611,mora2000
215,"2,589","2,889","Jun 14, 2012",Texas,Male,680921,tx-badger
216,856,"1,576","Jul 15, 2011",Florida,Male,610126,danny1217
