,abvs,beer_ids,beer_links,beer_names,company_ids,companys,ratings,scores
27,5.40,1229,https://www.beeradvocate.com/beer/profile/412/1229/,Kapuziner Weissbier,412,Kulmbacher Brauerei AG,533,4.03
28,5.00,3425,https://www.beeradvocate.com/beer/profile/290/3425/,Schöfferhofer Hefeweizen,290,Binding-Brauerei AG,511,3.65
29,5.80,47302,https://www.beeradvocate.com/beer/profile/19126/47302/,Shotgun Betty Hefeweizen Ale,19126,Lonerider Brewing Company,475,3.67
30,5.40,2637,https://www.beeradvocate.com/beer/profile/585/2637/,Maisel's Weisse Original,585,Brauerei Gebrüder Maisel GmbH & Co.,469,3.89
31,4.90,61109,https://www.beeradvocate.com/beer/profile/337/61109/,Saint Arnold Weedwacker,337,Saint Arnold Brewing Company,468,3.65
32,5.10,40524,https://www.beeradvocate.com/beer/profile/13667/40524/,The Love Wheat Beer,13667,Starr Hill Brewery,465,3.54
33,5.50,3995,https://www.beeradvocate.com/beer/profile/911/3995/,Andechser Weissbier Hell,911,Klosterbrauerei Andechs,463,4.16
34,5.20,72834,https://www.beeradvocate.com/beer/profile/26762/72834/,Weisse Versa Wheat,26762,Karbach Brewing Co.,461,3.84
35,5.00,20575,https://www.beeradvocate.com/beer/profile/9020/20575/,Hefeweizen,9020,Yazoo Brewing Company,459,3.71
36,4.10,6745,https://www.beeradvocate.com/beer/profile/583/6745/,Schlafly Hefeweizen,583,The Schlafly Tap Room,456,3.33
